x_axis,channel_2
9.9525,(0.11824544918423592+2.889927270129805e-17j)
9.95125,(0.1450332789146964+5.0266881667701814e-17j)
9.95,(0.10503990616236532+4.463827429078974e-18j)
9.94875,(0.027452792000657165-1.3864714807232567e-17j)
9.9475,(-0.049318065543010284-3.248542773429461e-17j)
9.94625,(-0.09571102658559309-5.990961020158628e-17j)
9.945,(-0.0976070917234745-4.000236457766269e-17j)
9.94375,(-0.056684921376670305+1.2194133825080506e-17j)
9.9425,(0.010048171732247573+2.367813659320693e-17j)
9.94125,(0.07347842617840185+5.312263746656619e-17j)
9.94,(0.10311023638738123+2.422086687577342e-19j)
9.93875,(0.08323324152946308-2.1808715692281392e-17j)
9.9375,(0.023671682238677834-2.6223031858343954e-17j)
9.93625,(-0.04511427447227027-1.1112177727246019e-17j)
9.935,(-0.09091525068701309-3.3835714270305125e-18j)
9.93375,(-0.098617356190151+8.245710137646824e-18j)
9.9325,(-0.07470749064212837-2.6783259671504772e-17j)
9.93125,(-0.03602900304052284-6.695414683108132e-18j)
9.93,(0.004801131872569233-7.391618413785627e-18j)
9.92875,(0.04361102779354472-1.0117308464969709e-17j)
9.9275,(0.0770824985318356-3.2315417539870395e-18j)
9.92625,(0.0949845750733609+3.947565213843241e-18j)
9.925,(0.08404183917076587+3.2385319605673436e-17j)
9.92375,(0.04190907453816223+7.853807869957205e-18j)
9.9225,(-0.013443867468083365+2.126105430805804e-18j)
9.92125,(-0.05210048153445052-1.0021222688274543e-17j)
9.92,(-0.05492722854677494-1.2570043722448481e-18j)
9.91875,(-0.031124965058448497-2.2295526256523588e-17j)
9.9175,(-0.01222847261132365-6.980894693155857e-18j)
9.91625,(-0.02412552199867097-6.431325331661574e-18j)
9.915,(-0.060335620271897816+2.3041514675456694e-18j)
9.91375,(-0.08232166116333882-1.1911680420887881e-17j)
9.9125,(-0.051014760999585476+6.468456579956595e-18j)
9.91125,(0.03477290562092547-1.7126687049219913e-18j)
9.91,(0.12726155569526612+1.3801921286847024e-17j)
9.90875,(0.1602864252148042+2.648072926315656e-17j)
9.9075,(0.10088958410694919+2.2020466411690155e-17j)
9.90625,(-0.019421461168223794-1.0815792989700636e-17j)
9.905,(-0.12209926890524983-2.782790973080095e-17j)
9.90375,(-0.13778471976172907-3.284691680068316e-17j)
9.9025,(-0.05872884927973453+5.060146644956713e-18j)
9.90125,(0.05448791229006909+1.0804669485131956e-17j)
9.9,(0.11857692336465635+2.141069923357026e-17j)
9.89875,(0.09025600349669993+2.6231640101575177e-19j)
9.8975,(-0.003224674963298474-3.1252422637750384e-17j)
9.89625,(-0.08906073440299668-2.3165935280180696e-17j)
9.895,(-0.10773934437188672-9.00390983046702e-18j)
9.89375,(-0.057337853419920655+6.4915423619401015e-18j)
9.8925,(0.011584192214311527+1.6801428866093364e-17j)
9.89125,(0.0432321049970902+1.2421769374356862e-17j)
9.89,(0.023874946508237644+1.8899893981467536e-17j)
9.88875,(-0.011011977767710462+1.99963500873873e-18j)
9.8875,(-0.01373305037979467-1.264780453811259e-17j)
9.88625,(0.029175258559938553+4.81450978894352e-18j)
9.885,(0.083049213162829+2.797365685410719e-17j)
9.88375,(0.09593471978199199+2.598502218037539e-17j)
9.8825,(0.04612881386776173-7.674457950356383e-18j)
9.88125,(-0.03640599543370643-1.475896425130594e-17j)
9.88,(-0.09408306751626849-2.0285633054134705e-17j)
9.87875,(-0.08996870491788433+2.4983918120879316e-17j)
9.8775,(-0.03773422717030967+4.006166548098225e-17j)
9.87625,(0.012623050043693806+5.036622501819113e-17j)
9.875,(0.019817328752018602+1.6752781772219207e-17j)
9.87375,(-0.013211050157067646-2.8177400942860892e-18j)
9.8725,(-0.04427933555914359-9.471564913947108e-18j)
9.87125,(-0.031978665981328556+1.4931379776010518e-17j)
9.87,(0.025484307174360402+2.121487135513302e-17j)
9.86875,(0.08692943443436278+2.565058613025487e-18j)
9.8675,(0.10275706396274618-2.505415817763503e-17j)
9.86625,(0.056895122349289264-2.668080521677892e-17j)
9.865,(-0.01970320870727312-4.19062939748176e-17j)
9.86375,(-0.07425149360569754-2.60240801781286e-18j)
