x_axis,channel_2
9.95625,(-0.007908406254976233+9.410874857174178e-17j)
9.955,(0.009895825797312508-4.423544863740858e-17j)
9.95375,(0.043641827266125276-5.898059818321144e-17j)
9.9525,(0.03238350743093734-2.5847379792054426e-16j)
9.95125,(-0.03328097548205748+1.7520707107365752e-16j)
9.95,(-0.05205076300908265+4.163336342344337e-17j)
9.94875,(-0.008953835506141863+8.326672684688674e-17j)
9.9475,(0.005890158964514088-5.074066167232161e-17j)
9.94625,(-0.00027721758620414237-5.068645156369733e-17j)
9.945,(0.030452083925468526+1.6653345369377348e-16j)
9.94375,(0.048708986029777426-1.0061396160665481e-16j)
9.9425,(0.01839368967905613-1.5612511283791264e-17j)
9.94125,(0.010204823536658515+7.719519468096792e-17j)
9.94,(0.035784733846015306-6.591949208711867e-17j)
9.93875,(0.025632585871183534+1.457167719820518e-16j)
9.9375,(-0.003903478111999033-2.3635607360183997e-17j)
9.93625,(0.0010303479423955826-1.050049804052211e-16j)
9.935,(-0.001753997080694353+8.57603918436034e-17j)
9.93375,(-0.04266502363511561-2.0816681711721685e-17j)
9.9325,(-0.04973027381748232-2.0816681711721685e-17j)
9.93125,(0.009648326891712317-4.7271214720367993e-17j)
9.93,(0.06438590621004939-5.204170427930421e-17j)
9.92875,(0.06439813341156592-2.0816681711721685e-17j)
9.9275,(0.02737459850852864+5.204170427930421e-18j)
9.92625,(-0.018259652835584804-2.1467203015212988e-16j)
9.925,(-0.04403545639733556-8.326672684688674e-17j)
9.92375,(-0.034102048850570034-4.0766001685454967e-17j)
9.9225,(-0.016751705156277632+1.9981846038907847e-16j)
9.92125,(-0.017010311711621623-1.1492543028346347e-16j)
9.92,(-0.014370017346360536+1.7336392738043216e-16j)
9.91875,(-0.0014615459931006797+1.3406159862783262e-16j)
9.9175,(-0.00195820024739901-1.5417354892743873e-16j)
9.91625,(-0.010505695509070573+1.3010426069826053e-16j)
9.915,(-0.015341041794812348-7.589415207398531e-17j)
9.91375,(-0.04267595032440598-1.474514954580286e-16j)
9.9125,(-0.0782845063389614-3.122502256758253e-17j)
9.91125,(-0.042985727378388884-3.469446951953614e-18j)
9.91,(0.06733680023377397+9.367506770274758e-17j)
9.90875,(0.14617513253900022+6.938893903907228e-17j)
9.9075,(0.124217509644022+5.551115123125783e-17j)
9.90625,(0.02924969120284971+9.71445146547012e-17j)
9.905,(-0.07117812274718748+5.551115123125783e-17j)
9.90375,(-0.09239724148087555+1.8735013540549517e-16j)
9.9025,(-0.004846047865198898+2.8666305440516737e-16j)
9.90125,(0.07398987090106288-1.249000902703301e-16j)
9.9,(0.021875645389572394-1.5612511283791264e-17j)
9.89875,(-0.08321242685046631-8.326672684688674e-17j)
9.8975,(-0.08936388773980825-1.249000902703301e-16j)
9.89625,(-0.008818945414485612+6.678685382510707e-17j)
9.895,(0.04558410616873737+4.163336342344337e-17j)
9.89375,(0.035023085299316345+1.0234868508263162e-16j)
9.8925,(-0.009022454746300264+6.982261990806649e-17j)
9.89125,(-0.03378356318686392-2.2551405187698492e-17j)
9.89,(0.012881709441837292-1.1926223897340549e-17j)
9.88875,(0.09798098144362218+2.1120258320017626e-16j)
9.8875,(0.1030878166826807+6.245004513516506e-17j)
9.88625,(-0.007043351069471885+5.854691731421724e-18j)
9.885,(-0.11977315111031046+1.3877787807814457e-17j)
9.88375,(-0.1240110136861105-1.3877787807814457e-17j)
9.8825,(-0.0281687353365691+8.153200337090993e-17j)
9.88125,(0.07218313076116127-3.469446951953614e-18j)
9.88,(0.08647676309743037-7.632783294297951e-17j)
9.87875,(0.015181706466389715-9.540979117872439e-18j)
9.8775,(-0.05262060302235165+1.5612511283791264e-16j)
9.87625,(-0.05428013846993361+1.3877787807814457e-17j)
9.875,(-0.0127811725939388+1.5525775109992423e-16j)
9.87375,(0.030483736287745214-5.204170427930421e-17j)
9.8725,(0.05471823640800062-1.3877787807814457e-16j)
9.87125,(0.04532045630909147-1.3877787807814457e-17j)
9.87,(0.02136971736511722-8.673617379884035e-18j)
9.86875,(0.022919756199164552+4.2500725161431774e-17j)
9.8675,(0.025901707139493486+1.5092094240998222e-16j)
9.86625,(-0.02439793829689889+9.454242944073599e-17j)
9.865,(-0.09016820907558794-3.8163916471489756e-17j)
9.86375,(-0.09158991887088067+3.0357660829594124e-17j)
9.8625,(-0.04341894437189591+2.415602440297704e-16j)
9.86125,(-0.002031327328771379-2.1597307275911248e-16j)
9.86,(0.03144317482520194+1.5092094240998222e-16j)
9.85875,(0.043123899428466186+1.5612511283791264e-16j)
9.8575,(-0.0055138939013676235-2.5587171270657905e-17j)
9.85625,(-0.05673920354152649+3.469446951953614e-18j)
9.855,(-0.020977988962079003-1.734723475976807e-18j)
9.85375,(0.04717504655992875-6.938893903907228e-17j)
9.8525,(0.053998491686626696-5.204170427930421e-17j)
9.85125,(0.0434553286746992-2.7755575615628914e-17j)
