x_axis,channel_2
9.94125,(0.0013001488819566448+3.552713678800501e-18j)
9.94,(0.025879782487857505+1.7763568394002505e-18j)
9.93875,(0.024124141414001876-1.2434497875801754e-17j)
9.9375,(-0.013213057280441177-3.6415315207705136e-17j)
9.93625,(-0.034228251739108616-1.509903313490213e-17j)
9.935,(0.005874755818092826-1.1546319456101629e-17j)
9.93375,(0.07185132221238871+3.907985046680551e-17j)
9.9325,(0.07856986790398719+3.907985046680551e-17j)
9.93125,(-0.0017557420273737777+1.7763568394002505e-18j)
9.93,(-0.09203451019633997-2.1316282072803006e-17j)
9.92875,(-0.09338844855346307-3.730349362740526e-17j)
9.9275,(-0.003748711549336214-3.286260152890463e-17j)
9.92625,(0.07539906790273139+8.881784197001253e-18j)
9.925,(0.05671012393069937+2.3092638912203258e-17j)
9.92375,(-0.032589415515669636+4.263256414560601e-17j)
9.9225,(-0.08765333857867058+3.907985046680551e-17j)
9.92125,(-0.05071506186493515-1.5987211554602256e-17j)
9.92,(0.029417487321356264-8.526512829121202e-17j)
9.91875,(0.06706346788166213-3.603176254046121e-17j)
9.9175,(0.04138466139623925+2.574353522164875e-17j)
9.91625,(0.0045473483476658316+8.881784197001253e-18j)
9.915,(0.0009285139437359078-5.3290705182007515e-18j)
9.91375,(0.01323607161767389+1.8390923537633096e-17j)
9.9125,(0.0022274167164557353-1.0383678810677081e-17j)
9.91125,(-0.026412797414208-1.5987211554602256e-17j)
9.91,(-0.027979481918778547-2.7743201493901446e-17j)
9.90875,(0.010493573410477026-3.3872681186798085e-17j)
9.9075,(0.03916036022173179+4.1744385725905886e-17j)
9.90625,(0.007265831797923966-3.840134253030295e-17j)
9.905,(-0.06054110208061809-1.7937450578048862e-17j)
9.90375,(-0.08237954026524205-1.4297795807225182e-17j)
9.9025,(-0.020000861872459298-9.592326932761352e-17j)
9.90125,(0.06487627696067756-1.7589686209956148e-17j)
9.9,(0.07822893950740319-3.2688719344858275e-17j)
9.89875,(0.007642745100799061-2.3193218953881323e-17j)
9.8975,(-0.05979071284024627+3.7513164110602823e-17j)
9.89625,(-0.04150603515900232+3.7504226740248954e-19j)
9.895,(0.04124043254434736+1.711565096873396e-18j)
9.89375,(0.09029569017305904+5.616491092430545e-17j)
9.8925,(0.04851855491951858-3.2349465376607e-17j)
9.89125,(-0.03649042534485352+7.23968011906596e-18j)
9.89,(-0.07533667816009038-5.72184611282105e-17j)
9.88875,(-0.04132818422858958+5.530230601556883e-18j)
9.8875,(0.01112369480007871-1.827670454630014e-17j)
9.88625,(0.02419509571653424+1.0845662170102747e-17j)
9.885,(0.002153458638412076+5.5067062021407764e-17j)
9.88375,(-0.013242765368337985-9.386409949457456e-18j)
9.8825,(-0.008814807122603+3.159938084180202e-17j)
9.88125,(-0.010251018301134082+2.9749721860033476e-17j)
9.88,(-0.028170968130665445-7.105427357601002e-18j)
9.87875,(-0.02784454979484414+3.3916151732809684e-17j)
9.8775,(0.022853740194333397-1.2398709576650543e-17j)
9.87625,(0.09040878596477435+5.861977570020827e-17j)
9.875,(0.0959089021760717+3.375077994860476e-17j)
9.87375,(0.01064266298001222-4.3897393056286556e-18j)
9.8725,(-0.09169293940262777-7.654351809049849e-18j)
9.87125,(-0.1053582711602038-5.3290705182007515e-18j)
9.87,(-0.013062880948097018-5.134046615856091e-17j)
9.86875,(0.08773717982311445+6.548820659291775e-18j)
9.8675,(0.09026041589991911+6.30606677987089e-17j)
9.86625,(-0.005049833899337159+7.054964782355381e-17j)
9.865,(-0.09683865597742432+3.6841510267979597e-17j)
9.86375,(-0.09848577807235671+1.1885573424352908e-17j)
9.8625,(-0.024425603423530562-2.1316282072803006e-17j)
9.86125,(0.04453910450236826-3.337573768120227e-17j)
9.86,(0.05844473177191199-3.1090085812934574e-17j)
9.85875,(0.0367010019061467+8.103390667590897e-17j)
9.8575,(0.01824964989544557+5.345607696621244e-17j)
9.85625,(0.007296673172414671+3.665398913427835e-17j)
9.855,(-0.012884355264546628-3.0364266206990235e-17j)
9.85375,(-0.03274285777744575-4.175289612574733e-17j)
9.8525,(-0.018119249931308565-4.348495426615493e-17j)
9.85125,(0.033857555905833836-1.2355239030638954e-17j)
9.85,(0.06855656589842636+8.153853242836516e-17j)
9.84875,(0.030741051241776403+2.6645352591003756e-17j)
9.8475,(-0.05834062935502817+5.48573915382102e-17j)
9.84625,(-0.1091530629292647-2.0933557558540138e-17j)
9.845,(-0.062482289490600605-1.5987211554602256e-17j)
9.84375,(0.03663509107893263+1.9775169227563813e-18j)
9.8425,(0.08485264272839811-2.5634444780129244e-17j)
9.84125,(0.03727634002220225+5.1514348342607266e-17j)
9.84,(-0.043347341493144155+1.4210854715202004e-17j)
9.83875,(-0.06290214472974986-2.805507736051787e-17j)
