Time,Sensor
0.8398439999999994,0.045846
0.84375,0.048358
0.8476569999999999,0.044715
0.8515629999999996,0.04371
0.8554689999999998,0.043459
0.8593749999999996,0.044589
0.8632819999999994,0.042705
0.8671879999999996,0.044966
0.8710939999999998,0.047856
0.8749999999999996,0.046976
0.8789069999999994,0.048735
0.8828129999999996,0.047228
0.8867189999999998,0.042831
0.8906249999999996,0.038308
0.8945319999999994,0.040821
0.8984379999999996,0.044464
0.9023439999999998,0.053509
0.9062499999999996,0.057403
0.9101569999999994,0.060167
0.9140629999999996,0.062554
0.9179689999999998,0.064439
0.9218749999999996,0.069715
0.9257819999999994,0.06871
0.9296879999999996,0.072981
0.9335939999999998,0.070846
0.9374999999999996,0.05979
0.9414069999999994,0.062303
0.9453129999999996,0.070846
0.9492189999999998,0.070469
0.9531249999999996,0.074991
0.9570319999999994,0.085042
0.9609379999999996,0.066574
0.9648439999999998,0.072981
0.9687499999999996,0.077253
0.9726569999999994,0.065192
0.9765629999999996,0.063936
0.9804689999999998,0.067705
0.9843749999999996,0.063434
0.9882819999999994,0.06268
0.9921879999999996,0.062931
0.9960939999999998,0.058157
0.9999999999999996,0.055142
1.0039069999999994,0.052378
1.0078129999999996,0.051248
1.0117189999999998,0.051499
1.0156249999999996,0.046725
1.0195319999999994,0.048233
1.0234379999999996,0.047102
1.0273439999999998,0.04572
1.0312499999999996,0.045971
1.0351569999999994,0.048358
1.0390629999999996,0.048609
1.0429689999999998,0.048861
1.0468749999999996,0.04773
1.0507819999999994,0.041072
1.0546879999999996,0.035921
1.0585939999999998,0.041574
1.0624999999999996,0.042705
1.0664069999999994,0.042579
1.0703129999999996,0.042579
1.0742189999999998,0.037805
1.0781249999999996,0.036549
1.0820319999999994,0.03479
1.0859379999999996,0.033283
1.0898439999999998,0.032278
1.0937499999999996,0.031273
1.0976569999999994,0.031022
1.1015629999999996,0.029514
1.1054689999999998,0.02876
1.1093749999999996,0.027127
1.1132819999999994,0.02562
1.1171879999999996,0.025243
1.1210939999999998,0.028258
1.1249999999999996,0.027001
1.1289069999999994,0.027378
1.1328129999999996,0.028383
1.1367189999999998,0.02876
1.1406249999999996,0.02876
1.1445319999999994,0.028258
1.1484379999999996,0.026248
1.1523439999999998,0.024866
1.1562499999999996,0.023358
1.1601569999999994,0.021851
1.1640629999999996,0.021725
1.1679689999999998,0.020469
1.1718749999999996,0.019966
1.1757819999999994,0.019464
1.1796879999999996,0.020092
1.1835939999999998,0.019589
1.1874999999999996,0.018961
1.1914069999999994,0.018333
1.1953129999999996,0.018082
1.1992189999999998,0.018207
1.2031249999999996,0.018207
1.2070319999999994,0.017956
1.2109379999999996,0.017454
1.2148439999999998,0.017579
1.2187499999999996,0.018082
1.2226569999999994,0.018082
1.2265629999999996,0.017956
1.2304689999999998,0.017454
1.2343749999999996,0.017202
1.2382819999999994,0.017077
1.2421879999999996,0.016826
1.2460939999999998,0.016449
1.2499999999999996,0.016197
1.2539069999999994,0.015821
1.2578129999999996,0.015695
1.2617189999999998,0.015695
1.2656249999999996,0.015569
1.2695319999999994,0.015192
1.2734379999999996,0.014941
1.2773439999999998,0.014941
1.2812499999999996,0.014941
1.2851569999999994,0.014815
1.2890629999999996,0.01469
1.2929689999999998,0.014439
1.2968749999999996,0.014564
1.3007819999999994,0.01469
1.3046879999999996,0.01469
1.3085939999999998,0.014564
1.3124999999999996,0.014439
1.3164069999999994,0.014439
1.3203129999999996,0.014564
1.3242189999999998,0.014564
1.3281249999999996,0.014313
1.3320319999999994,0.014062
1.3359379999999996,0.014062
1.3398439999999998,0.014187
1.3437499999999996,0.014187
1.3476569999999994,0.014062
1.3515629999999996,0.013936
1.3554689999999998,0.013936
1.3593749999999996,0.014062
1.3632819999999994,0.014062
1.3671879999999996,0.014062
1.3710939999999998,0.013936
1.3749999999999996,0.01381
1.3789069999999994,0.014062
1.3828129999999996,0.014062
1.3867189999999998,0.014062
1.3906249999999996,0.01381
1.3945319999999994,0.013685
1.3984379999999996,0.01381
1.4023439999999998,0.013936
1.4062499999999996,0.01381
1.4101569999999994,0.013685
1.4140629999999996,0.013559
1.4179689999999998,0.01381
1.4218749999999996,0.013936
1.4257819999999994,0.013936
1.4296879999999996,0.013685
1.4335939999999998,0.013559
1.4374999999999996,0.013559
1.4414069999999994,0.013685
1.4453129999999996,0.013559
1.4492189999999998,0.013434
1.4531249999999996,0.013308
1.4570319999999994,0.013308
1.4609379999999996,0.013434
1.4648439999999998,0.013434
1.4687499999999996,0.013182
1.4726569999999994,0.013057
1.4765629999999996,0.013182
1.4804689999999998,0.013434
1.4843749999999996,0.013434
1.4882819999999994,0.013434
1.4921879999999996,0.013308
1.4960939999999998,0.013434
1.4999999999999996,0.013559
1.5039069999999994,0.013685
1.5078129999999996,0.013434
1.5117189999999998,0.013308
1.5156249999999996,0.013182
1.5195319999999994,0.013434
1.5234379999999996,0.013434
1.5273439999999998,0.013434
1.5312499999999996,0.013308
1.5351569999999994,0.013182
1.5390629999999996,0.013308
1.5429689999999998,0.013434
1.5468749999999996,0.013559
1.5507819999999994,0.013434
1.5546879999999996,0.013434
1.5585939999999998,0.013559
1.5624999999999996,0.013685
1.5664069999999994,0.013559
1.5703129999999996,0.013434
1.5742189999999998,0.013182
1.5781249999999996,0.013308
1.5820319999999994,0.013434
1.5859379999999996,0.013434
1.5898439999999998,0.013308
1.5937499999999996,0.013308
1.5976569999999994,0.013559
1.6015629999999996,0.013936
1.6054689999999998,0.014313
1.6093749999999996,0.014313
1.6132819999999994,0.01469
1.6171879999999996,0.015444
1.6210939999999998,0.016197
1.6249999999999996,0.016574
1.6289069999999994,0.016951
1.6328129999999996,0.017454
1.6367189999999998,0.018459
1.6406249999999996,0.018961
1.6445319999999994,0.019715
1.6484379999999996,0.019715
1.6523439999999998,0.020343
1.6562499999999996,0.021097
1.6601569999999994,0.022228
1.6640629999999996,0.023484
1.6679689999999998,0.025745
1.6718749999999996,0.029263
