x_axis,channel_2
9.8575,(0.020214804992192935-5.45054290512867e-17j)
9.85625,(0.016156613573999664-2.920034444591789e-17j)
9.855,(0.0162776532620913-1.2847030163669174e-16j)
9.85375,(0.018880671588213428-3.477403222340118e-17j)
9.8525,(0.025736398968446112-2.791244085548546e-17j)
9.85125,(0.01811905463269798+4.415033472525789e-17j)
9.85,(-0.024979261947026616+1.0226844561588193e-16j)
9.84875,(-0.07686200737111364+8.217703632059904e-17j)
9.8475,(-0.07796239477648781+5.020765054124562e-17j)
9.84625,(-0.020593453802602794+5.067692357475454e-17j)
9.845,(0.026272208134366197-9.463658839194322e-18j)
9.84375,(0.010645243456972094-1.4668191093459736e-16j)
9.8425,(-0.02332628511937922-2.792073484435845e-17j)
9.84125,(0.0008785803374055102-3.7165514246044743e-17j)
9.84,(0.07398952792970086-1.089321061292546e-17j)
9.83875,(0.10775406844708653+6.052025479389723e-17j)
9.8375,(0.05891703350649656+9.244971973189606e-17j)
9.83625,(-0.014057116476318098+9.263185386596329e-17j)
9.835,(-0.03997221897400875+6.074158870837742e-17j)
9.83375,(-0.030116578527126445-8.91960985932415e-17j)
9.8325,(-0.042795267462700966-4.7076469642757295e-17j)
9.83125,(-0.08285168406569587-1.13077065540316e-16j)
9.83,(-0.09029934701141962-4.269700150552324e-17j)
9.82875,(-0.030170373893250477-1.8459531696418115e-17j)
9.8275,(0.05035197158163575+6.69613420433051e-17j)
9.82625,(0.07788177977453221+6.416487536265895e-17j)
9.825,(0.0443742533287468+1.2616050626345781e-16j)
9.82375,(0.013247711387204186+5.849824497990401e-17j)
9.8225,(0.03300331621538203-1.843033150479322e-17j)
9.82125,(0.06983314268301999-4.460547521981631e-17j)
9.82,(0.05006187348100506-1.0755380200043586e-16j)
9.81875,(-0.03486566846263072-1.5050289077161917e-16j)
9.8175,(-0.09994443925946889-3.5549312711411974e-17j)
9.81625,(-0.06899769833271813+8.454316619757181e-17j)
9.815,(0.016606606583288854+1.0102524842107969e-17j)
9.81375,(0.040081807674716495+4.8951866590172904e-17j)
9.8125,(-0.035272155875908796+8.884193638260709e-17j)
9.81125,(-0.10744703903656826-5.7491495959607254e-18j)
9.81,(-0.06820166441712977+7.944533961413758e-18j)
9.80875,(0.049218492232748566+5.619828588745652e-17j)
9.8075,(0.11527772346762502-4.60582198055668e-17j)
9.80625,(0.07817169683337884+2.4569228005346273e-17j)
9.805,(0.019539894035677484-3.4461228286680954e-17j)
9.80375,(0.023635420579577474-7.570788256706621e-18j)
9.8025,(0.060856287062099335-9.521874704188277e-17j)
9.80125,(0.04592921192116291-4.3232036392930705e-18j)
9.8,(-0.034921428671367966-1.5446492622052704e-17j)
9.79875,(-0.11274581894116818+2.9454626592065633e-17j)
9.7975,(-0.1302516475994903+3.056465366818155e-18j)
9.79625,(-0.0929057775786656-1.7055052763816135e-16j)
9.795,(-0.033011458836451985-1.5020520050223074e-17j)
9.79375,(0.026214921299852395-9.177879921191404e-18j)
9.7925,(0.06618337580697045-5.1132014040577123e-17j)
9.79125,(0.07644834182071034-4.2476518774881824e-18j)
9.79,(0.07270510366886894+8.0381476103599e-18j)
9.78875,(0.0750231613825076-1.154112211224753e-17j)
9.7875,(0.06358258240632979+1.3493547134248492e-17j)
9.78625,(0.0017480811143537269+1.2831082877332878e-17j)
9.785,(-0.08515625317656514+5.403665927902482e-17j)
9.78375,(-0.11076877660505194+8.772668244522359e-17j)
9.7825,(-0.0415564775859044+3.276483870335801e-17j)
9.78125,(0.040610367976367495-8.114926817446998e-17j)
9.78,(0.04112647110785583+1.3790840189585201e-17j)
9.77875,(-0.02078567453111575+2.55888570975523e-17j)
9.7775,(-0.0521589961535419+6.140107730416345e-18j)
9.77625,(-0.026552947988012894-9.807317217587715e-17j)
9.775,(-0.004572405150846238-9.885174828822192e-17j)
9.77375,(-0.016209007137629166+5.773678299472934e-17j)
9.7725,(-0.009063254848085305+3.642965130544369e-17j)
9.77125,(0.054684738182881436+2.9252103426383265e-17j)
9.77,(0.12085431286074542-2.799557285386754e-17j)
9.76875,(0.11406783023333789-2.9057204814802665e-17j)
9.7675,(0.0380800945176458-1.6045744958449173e-17j)
9.76625,(-0.0457003780376174-4.425499331640297e-17j)
9.765,(-0.10006306474254234-3.7445780181134975e-18j)
9.76375,(-0.11828106580003865-2.8775009002119788e-18j)
9.7625,(-0.08703564212628098+3.781480070688767e-17j)
9.76125,(-0.012175662930891116+9.63265501117338e-17j)
9.76,(0.043537011975692694+9.477276952944608e-17j)
9.75875,(0.027122653990882893+9.916249849176676e-17j)
9.7575,(-0.010335352212204689+9.76462326127253e-17j)
9.75625,(0.02709114406147466+2.1249342111962835e-17j)
9.755,(0.12015787059474263+1.4835122390910346e-18j)
9.75375,(0.13186899618700168+5.4733130059636745e-17j)
9.7525,(0.0029652201808270883-4.066997923404072e-17j)
9.75125,(-0.14307998585732776-7.889480011483318e-17j)
9.75,(-0.15784155465405067-7.171950272778068e-17j)
9.74875,(-0.054905699504960166-7.610682689540527e-17j)
9.7475,(0.04501593702736483+5.271428987465347e-17j)
9.74625,(0.09011384722886732-1.2701377737309894e-17j)
9.745,(0.1081935357601924-4.3659831522957814e-17j)
9.74375,(0.08633518014034186-6.755051926391866e-17j)
9.7425,(-0.01848505142399852-8.384513250002933e-17j)
9.74125,(-0.1451973658281834+4.717006303798898e-18j)
9.74,(-0.15032339717162788+5.1718137009348906e-17j)
9.73875,(-0.01388942612260935+5.181504351415244e-17j)
9.7375,(0.10317256229851893-1.2361013041115422e-17j)
9.73625,(0.0824142460768177-2.6076797452848505e-17j)
9.735,(0.008885877621126784+1.0568515087233082e-16j)
9.73375,(0.0033863987008442976+2.6788625212319e-17j)
9.7325,(0.012079299739311732-5.907451958909274e-17j)
9.73125,(-0.07101516250660972-7.332685437110554e-17j)
9.73,(-0.15229356143905717-4.1311432843287935e-17j)
9.72875,(-0.036048394962970624-1.1860843163076952e-17j)
9.7275,(0.21993424452019142+1.1653532470676487e-16j)
9.72625,(0.28973879086559934+4.447428776200373e-17j)
9.725,(0.030066227616558167+9.02143574802458e-17j)
9.72375,(-0.260113790943232+4.2226851735059635e-17j)
9.7225,(-0.2224110344721774+2.796289789503648e-18j)
9.72125,(0.05531764379803603-7.18854115053931e-17j)
9.72,(0.16459482353133845-3.436560324882344e-17j)
9.71875,(-0.03608116717930037-1.092340664592626e-16j)
9.7175,(-0.23203467906439892-6.919346036680151e-17j)
9.71625,(-0.12292585660292223-6.49674684879831e-17j)
9.715,(0.15446631428546084+4.150224951696448e-18j)
9.71375,(0.24517130600237239+5.897347180305329e-17j)
9.7125,(0.07110110548433086+6.009236231472402e-17j)
9.71125,(-0.10584953406675049-4.301537455557059e-17j)
9.71,(-0.06990786696640926-3.7117521613555844e-17j)
9.70875,(0.09736198460911656-5.396510250875717e-17j)
9.7075,(0.1797596795998183-5.65095647581394e-17j)
9.70625,(0.08717630517339088+1.3033045038066328e-18j)
9.705,(-0.10695089000310211-4.11910687518349e-17j)
