x_axis,channel_2
9.7925,(-0.03268673591187574+3.996802888650564e-18j)
9.79125,(-0.048038495557071854-4.440892098500626e-19j)
9.79,(-0.04510396010927103-6.217248937900877e-18j)
9.78875,(-0.02684111082935109-1.1546319456101629e-17j)
9.7875,(-0.00400402561515255-8.881784197001253e-19j)
9.78625,(0.011246328377215675+4.440892098500626e-19j)
9.785,(0.01251528890711957+4.440892098500626e-19j)
9.78375,(0.002620410515409949-1.7763568394002505e-18j)
9.7825,(-0.008767948362400732+1.7763568394002505e-18j)
9.78125,(-0.011617369072610113+0j)
9.78,(-0.0019045291980626083+3.1086244689504384e-18j)
9.77875,(0.016121867143616155+0j)
9.7775,(0.03294244055767002+4.440892098500626e-18j)
9.77625,(0.039757644460538866+3.552713678800501e-18j)
9.775,(0.03345600021917747-2.6645352591003758e-18j)
9.77375,(0.017561596910325876-6.217248937900877e-18j)
9.7725,(-0.0009255789923532003-4.3298697960381105e-18j)
9.77125,(-0.01616441011134644-3.1086244689504384e-18j)
9.77,(-0.02626760980387816+1.7763568394002505e-18j)
9.76875,(-0.03262408185148879-2.6645352591003758e-18j)
9.7675,(-0.03681874495921877+2.6645352591003758e-18j)
9.76625,(-0.037944589639268445+1.7763568394002505e-18j)
9.765,(-0.03263955985183023+6.661338147750939e-18j)
9.76375,(-0.017950744111897645-8.881784197001253e-19j)
9.7625,(0.005171564068389167+1.7763568394002505e-18j)
9.76125,(0.030597303210969526-5.3290705182007515e-18j)
9.76,(0.04931130602868236-8.881784197001253e-19j)
9.75875,(0.054072491232670016-2.8865798640254073e-18j)
9.7575,(0.04345837589525533-4.8849813083506885e-18j)
9.75625,(0.022619451774297715+1.7763568394002505e-18j)
9.755,(0.0002460389368453466+0j)
9.75375,(-0.016234950348053025+3.552713678800501e-18j)
9.7525,(-0.02412718507983174+2.220446049250313e-18j)
9.75125,(-0.025556282115205935+8.881784197001253e-19j)
9.75,(-0.024558772347244295-3.552713678800501e-18j)
9.74875,(-0.023559820845591307-5.3290705182007515e-18j)
9.7475,(-0.021840727163863236-6.217248937900877e-18j)
9.74625,(-0.01692290807984988-3.996802888650564e-18j)
9.745,(-0.007524205123274898+2.220446049250313e-18j)
9.74375,(0.0044316934418418535+2.6645352591003758e-18j)
